"username","n"
"@Mubasherkh69",49
"@WIONews",38
"@tvbsworldtaiwan",28
"@Dr_Raja_Babu",24
"@Supervideoz1z",23
"@anassaadallah",22
"@NikkeiAsia",20
"@CdnElectWatch",14
"@Aayat51",13
"@eye_peoples",13
"@CNNnews18",12
"@Jai_rathore26",12
"@yehaoqin",12
"@IndoPac_Info",11
"@MOFA_Taiwan",11
"@JamesKamau81919",8
"@Shozabsyed3",8
"@miriamsteimer",8
"@ryan_chua",8
"@Focus_Taiwan",7
"@JazbaTweets15",7
"@KhumaloLer",7
"@TheKingdom22",7
"@Xiani_PCh",7
"@ani_digital",7
"@denechen",7
"@eliudkibii",7
"@khurmiismail",7
"@ltntw",7
"@nico_nico_news",7
"@wuxi18486212",7
"@AsianPolitico",6
"@FayseeAlam",6
"@JanSher719",6
"@MeritNews24",6
"@MinhDr18",6
"@PIRGuru",6
"@TecoBoston",6
"@_EuropeanValues",6
"@asabeshehu",6
"@casfalun23",6
"@jannikkel6",6
"@jonasPplesner",6
"@pink93sypink",6
"@smithemma14e",6
"@DailyDispatchIn",5
"@GMbeki31765",5
"@KarenWenLin",5
"@PashaHamdoon",5
"@PriorConsults",5
"@TW_HolySee",5
"@ThinkChinaSG",5
"@YearnToLearn_",5
"@Zaka_B98",5
"@abidullahmsd03",5
"@article19org",5
"@ballot_talk",5
"@guntiiiii",5
"@heresnews",5
"@imAdityaRathore",5
"@logiclub_in",5
"@mnews_tw",5
"@nitsonnet",5
"@toonsbystellina",5
"@AmySpy1",4
"@AntonRayne",4
"@DWalpiri",4
"@DailyD1ss1dent",4
"@EgmontInstitute",4
"@FEscrutinio",4
"@HTMLKEMe",4
"@HafsahD19",4
"@HappinessPatrol",4
"@JosephWongUT",4
"@LamiradaOriente",4
"@Mark_Tushingham",4
"@MichaelRazzari",4
"@NTayachewe12",4
"@Naman_122",4
"@News2406",4
"@RedStarStrat",4
"@Rob_Simpson94",4
"@RockVica",4
"@SarahAdams35763",4
"@TECO_Toronto",4
"@TV2000it",4
"@TheNeutralIndi3",4
"@UA_22_Ukraine",4
"@Witchlawrence",4
"@YvonneManTV",4
"@amna_news",4
"@ejaznews1",4
"@hwang61",4
"@joyuwang",4
"@mr_sethii",4
"@pressunbiased",4
"@priyatranslator",4
"@ragnarhannes",4
"@rbourdi",4
"@shanghaidaily",4
"@sipi1985",4
"@socialist0216",4
"@taiwan_ita",4
"@tommywalkerco",4
"@wjhurst",4
