"word","freq"
"taiwanelections",2557
"taiwan",1679
"china",698
"lai",482
"election",349
"dpp",280
"elections",274
"chingte",240
"president",228
"yemen",227
"presidential",216
"taiwans",213
"primiily",204
"will",188
"party",186
"taiwanese",180
"democracy",172
"🇹🇼",154
"readingfc",152
"dragrace",148
"taiwanelection",140
"kmt",137
"candidate",129
"vote",126
"bitcoineft",126
"ป๋อจ้านงานเดียวกัน",124
"new",117
"people",115
"democratic",107
"tontawant",101
"william",97
"congratulations",92
"hou",90
"taiwan’s",89
"chinese",89
"chingtelai",88
"results",85
"chinas",80
"laichingte",79
"votes",76
"victory",76
"beijing",74
"wins",74
"ruling",70
"polls",69
"independence",69
"one",67
"voters",67
"tpp",66
"next",65
"progressive",64
"taipei",63
"read",62
"win",62
"news",62
"ccp",61
"world",54
"war",54
"time",54
"won",53
"support",51
"now",50
"کے",49
"island",48
"counting",48
"israelterorrist",48
"political",47
"les",47
"bikhim",47
"williamlai",47
"just",46
"legislative",46
"★",44
"總統大選",44
"can",43
"watch",43
"kuomintang",43
"usa",42
"taiwán",42
"military",41
"ahead",40
"relations",39
"day",39
"des",39
"opposition",39
"country",38
"臺灣",37
"first",37
"international",36
"tensions",36
"today",36
"global",35
"race",35
"see",34
"کا",34
"voting",33
"via",33
"set",33
"interference",33
"upcoming",33
"के",33
"candidates",32
"must",32
"xijinping",32
"winning",32
"que",31
"way",31
"breaking",31
"yuih",31
"میں",31
"saturday",30
"🗳️",30
"great",30
"選舉",30
"says",30
"presidentelect",30
"term",30
"outcome",29
"taiwanvotes",29
"also",28
"right",28
"influence",28
"freedom",28
"said",28
"good",28
"taïwan",28
"palestine",28
"live",28
"las",27
"high",27
"power",27
"में",27
"die",26
"dpps",26
"pla",26
"elected",26
"result",26
"leader",26
"台灣",26
"کو",26
"نے",26
"ہے",26
"january",25
"ties",25
"two",25
"third",25
"chine",25
"taiwan🇹🇼",25
"tmeconflictsobserver",25
"happy",25
"turnout",25
"del",25
"like",24
"pressure",24
"pour",24
"strait",24
"another",24
"future",24
"houyuih",24
"status",24
"want",24
"tsai",24
"vice",24
"seats",24
"los",24
"biden",24
"israel",24
"gazaattack",24
"year",23
"years",23
"taiwanisacountry",23
"🇨🇳",23
"threats",23
"–",23
"latest",23
"ताइवान",23
"israelinewnazism",23
"🇵🇸🤍",23
"کی",23
"سے",23
"continue",22
"foreign",22
"part",22
"come",22
"free",22
"taiwanstrait",21
"tvbs",21
"gaza",21
"close",21
"sovereignty",21
"reunification",21
"defeat",21
"majority",21
"crossstrait",20
"days",20
"despite",20
"government",20
"newstvbscomtwenglish…",20
"may",20
"media",20
"peace",20
"independent",20
"efforts",20
"get",20
"statement",20
"فیصلہ",20
"wenje",19
"head",19
"state",19
"👇",19
"elecciones",19
"politics",19
"every",19
"take",19
"well",19
"amid",19
"nation",19
"full",19
"public",19
"hours",19
"nauru",19
"voted",19
"hsiao",19
"supremecourt",19
"台湾总统大选 ",19
"china’s",18
"last",18
"back",18
"supporters",18
"policy",18
"forces",18
"many",18
"con",18
"work",18
"historic",18
"antichina",18
"کورٹ",18
"der",18
"leading",17
"wionewscomvideos",17
"issues",17
"parliament",17
"crucial",17
"since",17
"chinataiwan",17
"three",17
"around",17
"campaign",17
"kptaiwan",17
"disinformation",17
"stand",17
"lead",17
"ingwen",17
"dpponline",17
"presidency",17
"city",17
"make",17
"expected",17
"become",17
"avec",17
"candidat",17
"taiwanelections🇹🇼",17
"voter",17
"चुनाव",17
"लाई",17
"incumbent",17
"yuan",17
"台湾",17
"think",16
"houthis",16
"taiwanpools",16
"place",16
"son",16
"region",16
"relationship",16
"mainland",16
"values",16
"main",16
"change",16
"賴清德",16
"check",16
"’s",16
"friends",16
"choose",16
"champions",16
"राष्ट्रपति",16
"final",16
"台湾総統選",16
"président",16
"سپریم",16
"rally",16
"présidentielle",16
"count",15
"countries",15
"mofataiwan",15
"know",15
"jan",15
"might",15
"asia",15
"geopolitics",15
"move",15
"towards",15
"official",15
"trying",15
"beijings",15
"closely",15
"per",15
"communist",15
"une",15
"visit",15
"office",15
"forward",15
"big",15
"démocratie",15
"को",15
"ने",15
"है",15
"เลือกตั้งไต้หวัน",15
"makes",15
"joined",15
"por",15
"کر",15
"tomorrow",15
"dont",14
"balloons",14
"ballots",14
"show",14
"minister",14
"economic",14
"message",14
"long",14
"interesting",14
"terry",14
"partys",14
"onechina",14
"washington",14
"民進黨",14
"choice",14
"elezioni",14
"focustaiwantwpolitics…",14
"opinion",14
"taïwanais",14
"thanks",14
"para",14
"russia",14
"strong",14
"الیکشن",14
"gazagenocide",14
"🛑",14
"counted",14
"chinanews",13
"america",13
"—",13
"coming",13
"week",13
"talks",13
"goes",13
"recent",13
"local",13
"video",13
"security",13
"parties",13
"really",13
"ukraine",13
"islands",13
"attention",13
"analysis",13
"including",13
"侯友宜",13
"presidente",13
"jinping",13
"best",13
"foxconn",13
"peoples",13
"implications",13
"national",13
"est",13
"lost",13
"parti",13
"position",13
"चीन",13
"का",13
"iingwen",13
"secures",13
"newcastle",13
"million",13
"follow",13
"نہیں",13
"ist",13
"love",13
"candidato",13
"polling",13
"let",12
"never",12
"watching",12
"heads",12
"current",12
"總統選舉",12
"chen",12
"citizens",12
"share",12
"threat",12
"🚨",12
"dans",12
"need",12
"stay",12
"gou",12
"running",12
"face",12
"stability",12
"quo",12
"processes",12
"india",12
"seen",12
"commitment",12
"dangerous",12
"柯文哲",12
"calls",12
"major",12
"story",12
"amidst",12
"thank",12
"par",12
"warm",12
"youtube",12
"leadership",12
"campaigns",12
"legislature",12
"wrong",12
"emperor",12
"elects",12
"looks",12
"man",12
"affairs",12
"separatist",12
"going",12
"hold",12
"pakvsnz",12
"台湾総統選挙",12
"und",12
"begins",12
"join",11
"history",11
"cooperation",11
"house",11
"situation",11
"general",11
"process",11
"approach",11
"potential",11
"defense",11
"sur",11
"國民黨",11
"much",11
"even",11
"prc",11
"stance",11
"call",11
"proindependence",11
"community",11
"keep",11
"unification",11
"remains",11
"near",11
"cina",11
"post",11
"protect",11
"respect",11
"taiwanplus",11
"early",11
"yet",11
"shared",11
"important",11
"todays",11
"likely",11
"votos",11
"former",11
"congratulate",11
"चिंगते",11
"लिए",11
"spoken",11
"ballot",11
"台灣大選",11
"فیصلے",11
"اور",11
"night",11
"presidenciales",11
"loses",10
"still",10
"united",10
"ministry",10
"away",10
"impact",10
"battle",10
"internal",10
"für",10
"warns",10
"rights",10
"look",10
"side",10
"stop",10
"already",10
"regional",10
"comes",10
"give",10
"second",10
"partnership",10
"young",10
"use",10
"hope",10
"seems",10
"vows",10
"peaceful",10
"prosperity",10
"diplomatic",10
"successfully",10
"robust",10
"system",10
"premierleague",10
"question",10
"strength",10
"admitted",10
"“",10
"blow",10
"working",10
"appreciate",10
"proud",10
"worldwide",10
"’re",10
"senate",10
"kandidat",10
"clear",10
"speech",10
